"271","Scarlett Johansson","Female","Natasha Romanoff / Black Widow"
"272","Jeremy Renner","Male","Clint Barton / Hawkeye"
"273","James Spader","Male","Ultron"
"274","Samuel L. Jackson","Male","Nick Fury"
"275","Don Cheadle","Male","James Rhodes / War Machine"
"276","Aaron Taylor-Johnson","Male","Pietro Maximoff / Quicksilver"
"277","Elizabeth Olsen","Female","Wanda Maximoff / Scarlet Witch"
"278","Paul Bettany","Mlae","Jarvis / Vision"
"279","Cobie Smulders","Female","Maria Hill"
"280","Anthony Mackie","Male","Sam Wilson / Falcon"
"281","Hayley Atwell","Female","Peggy Carter"
"282","Brandon Routh","Male","Clark Kent / Superman"
"283","Kate Bosworth","Female","Lois Lane"
"284","Kevin Spacey","Male","Lex Luthor"
"285","James Marsden","Male","Richard White"
"286","Parker Posey","Female","Kitty Kowalski"
"287","Frank Langella","Male","Perry White"
"288","Sam Huntington","Male","Jimmy Olsen"
"289","Eva Marie Saint","Female","Martha Kent"
"290","Marlon Brando","Male","Jor-El (archive footage)"
"291","Kal Penn","Male","Stanford"
"292","Tristan Lake Leabu","Male","Jason White"
"293","David Fabrizio","Male","Brutus"
"294","Ian Roberts","Male","Riley"
"295","Vincent Stone","Male","Grant"
"296","Jack Larson","Male","Bo the Bartender"
"297","Taylor Kitsch","Male","John Carter"
"298","Lynn Collins","Female","Dejah Thoris"
"299","Samantha Morton","Female","Sola"
"300","Willem Dafoe","Male","Tars Tarkas"
"301","Thomas Haden Church","Male","Tal Hajus"
"302","Mark Strong","Male","Matai Shang"
"303","Ciaran Hinds","Male","Tardos Mors (as Ciaran Hinds)"
"304","Dominic West","Male","Sab Than"
"305","James Purefoy","Male","Kantos Kan"
"306","Bryan Cranston","Male","Powell"
"307","Polly Walker","Female","Sarkoja"
"308","Daryl Sabara","Male","Edgar Rice Burroughs"
"309","Arkie Reece","Male","Stayman #1 / Helm"
"310","Davood Ghadami","Male","Stayman #3"
"311","Pippa Nixon","Female","Lightmaster"
"312","Mandy Moore","Female","Rapunzel (voice)"
"313","Zachary Levi","Male","Flynn Rider (voice)"
"314","Donna Murphy","Female","Mother Gothel (voice)"
"315","Ron Perlman","Male","Stabbington Brother (voice)"
"316","M.C. Gainey","Male","Captain of the Guard (voice)"
"317","Jeffrey Tambor","Male","Big Nose Thug (voice)"
"318","Brad Garrett","Male","Hook Hand Thug (voice)"
"319","Paul F. Tompkins","Male","Short Thug (voice)"
"320","Richard Kiel","Male","Vlad (voice)"
"321","Delaney Rose Stein","Female","Young Rapunzel / Little Girl (voice)"
"322","Nathan Greno","Male","Guard 1 / Thug 1 (voice)"
"323","Byron Howard","Male","Guard 2 / Thug 2 (voice)"
"324","Tim Mertens","Male","Guard 3 (voice)"
"325","Michael Bell","Male","Additional Voices (voice)"
"326","Bob Bergen","Male","Additional Voices (voice)"
"327","Tobey Maguire","Male","Spider-Man / Peter Parker"
"328","Kirsten Dunst","Female","Mary Jane Watson"
"329","James Franco","Male","New Goblin / Harry Osborn"
"330","Thomas Haden Church","Male","Sandman / Flint Marko"
"331","Topher Grace","Male","Venom / Eddie Brock"
"332","Bryce Dallas Howard","Female","Gwen Stacy"
"333","Rosemary Harris","Female","May Parker"
"334","J.K. Simmons","Male","J. Jonah Jameson"
"335","James Cromwell","Male","Captain Stacy"
"336","Theresa Russell","Female","Emma Marko"
"337","Dylan Baker","Male","Dr. Curt Connors"
"338","Bill Nunn","Male","Joseph 'Robbie' Robertson"
"339","Bruce Campbell","Male","Maitre d'"
"340","Elizabeth Banks","Female","Miss Brant"
"341","Ted Raimi","Male","Hoffman"
"342","Johnny Depp","Male","Tonto"
"343","Armie Hammer","Male","John Reid (Lone Ranger)"
"344","William Fichtner","Male","Butch Cavendish"
"345","Tom Wilkinson","Male","Cole"
"346","Ruth Wilson","Female","Rebecca Reid"
"347","Helena Bonham Carter","Female","Red Harrington"
"348","James Badge Dale","Male","Dan Reid"
"349","Bryant Prince","Male","Danny"
"350","Barry Pepper","Male","Fuller"
"351","Mason Cook","Male","Will"
"352","JD Cullum","Male","Wendell"
"353","Saginaw Grant","Male","Chief Big Bear"
"354","Harry Treadaway","Male","Frank"
"355","James Frain","Male","Barret"
"356","Joaquín Cosio","Male","Jesus"
"357","Christian Bale","Male","Bruce Wayne"
"358","Gary Oldman","Male","Commissioner Gordon"
"359","Tom Hardy","Male","Bane"
"360","Joseph Gordon-Levitt","Male","Blake"
"361","Anne Hathaway","Female","Selina"
"362","Marion Cotillard","Female","Miranda"
"363","Morgan Freeman","Male","Fox"
"364","Michael Caine","Male","Alfred"
"365","Matthew Modine","Male","Foley"
"366","Alon Aboutboul","Male","Dr. Pavel (as Alon Moni Aboutboul)"
"367","Ben Mendelsohn","Male","Daggett"
"368","Burn Gorman","Male","Stryver"
"369","Daniel Sunjata","Male","Captain Jones"
"370","Aidan Gillen","Male","CIA Op"
"371","Sam Kennard","Male","Special Ops Sergeant"
"372","Rupert Grint","Male","Ron Weasley"
"373","Daniel Radcliffe","Male","Harry Potter"
"374","Michael Gambon","Male","Professor Albus Dumbledore"
"375","Dave Legeno","Male","Fenrir Greyback"
"376","Elarica Johnson","Female","Waitress (as Elarica Gallacher)"
"377","Jim Broadbent","Male","Professor Horace Slughorn"
"378","Geraldine Somerville","Female","Lily Potter"
"379","Bonnie Wright","Female","Ginny Weasley"
"380","Julie Walters","Female","Molly Weasley"
"381","Emma Watson","Female","Hermione Granger"
"382","Helena Bonham Carter","Female","Bellatrix Lestrange"
